Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Journey Summary,New Journey Summary,Number of emails,Logo/Icon,Duration,Date Started,Date Ended,Avg time delay,Brand Details,Email Template,Categories,Meta Title,Meta Description,Description
Pipedrive,pipedrive,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,67f11c7b9bf370f0e1ac0fc1,false,false,Sat Apr 05 2025 12:05:15 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Pipedrive’s email journey features clean, simple, and well-designed messages that guide users through a straightforward onboarding flow focused on discovering key features through videos, sample files, and webinars. Once a user becomes paid, Pipedrive adds a strong human touch, with the customer success team personally inviting new customers to book a 45-minute onboarding call—an excellent way to accelerate adoption. Their broader lifecycle communication is rich in educational content, newsletters, blog articles, courses, guides, and reports, complemented by smart win-back tactics, social-proof-driven messages, and occasional expansion offers tied to timely events.</p><p>‍</p><p id="""">P.S. Several repetitive newsletters were removed to reduce redundancy, so the average time delay between emails appears longer than in reality.</p><p>‍</p>",46,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/67f11c7a9bf370f0e1ac0f5e_67ee9b57b197da15375962a6_Pipedrive.png,About 8 months,"January 18, 2024","September 20, 2024",~5½ days,,,announce-new-features; onboard-free-user; onboard-paid-user; win-back-churned-user; transactional-email; celebrate-milestones; expand-user; request-feedback; educate-engage,,"Pipedrive offers simple onboarding, rich educational content, human CS onboarding calls, win-back flows, social proof, and smart expansion offers.",
Calendly,calendly,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,67f4c29fac94ca905585e83d,false,false,Tue Apr 08 2025 06:30:55 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Calendly delivers highly polished, visually distinctive emails, especially throughout a long and engaging onboarding flow filled with videos, feature nudges, and personalized prompts based on user activity. Their lifecycle messaging blends upgrade reminders, team-invite nudges, product-adoption prompts, and a rich cadence of educational webinars, including an on-demand onboarding session for new paid users.</p><p>‍</p><p id="""">They also maintain strong ongoing engagement through regular product-update emails from their Head of Product Marketing, win-back messages for churned users, and occasional expansion offers such as annual-plan discounts.</p><p>‍</p>",55,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/67f4c286b67439c6ac016567_c73039fdecbf381f55fe529c673cecce.png,About 1 year and 1 month,"January 18, 2024","February 24, 2025",~7 days,"<li id=""""><strong id="""">Founded</strong>: 2013</li><li id=""""><strong id="""">Founder</strong>: Tope Alabi</li><li id=""""><strong id="""">Headquarters</strong>: Atlanta, Georgia, USA</li><li id=""""><strong id="""">Industry</strong>: Scheduling and Productivity Software</li><li id=""""><strong id="""">Tagline</strong>: ""Simplifying the way people schedule time""</li><li id=""""><strong id="""">Brand Focus</strong>: Calendly is focused on solving the scheduling problems of busy professionals and teams. It’s designed to eliminate the back-and-forth of scheduling meetings, allowing users to set availability and let others book appointments based on that. Calendly integrates with various calendar tools to automate scheduling and save time.</li><li id=""""><strong id="""">Key Features</strong>: Automated scheduling, calendar integration, personalized booking links, group scheduling, and reminders.</li>",,announce-new-features; celebrate-milestones; expand-user; onboard-free-user; onboard-paid-user; request-feedback; win-back-churned-user; transactional-email; educate-engage,,"Calendly sends polished onboarding, feature nudges, webinars, upgrade prompts, product updates, win-back emails, and strong activity-based guidance.",
Notion,notion,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,67f4c2ec2512e2f094414a4c,false,false,Tue Apr 08 2025 06:32:12 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Notion’s email journey mirrors its product: minimalistic, structured, and clean, with simple layouts, short text blocks, and product screenshots that feel instantly recognizable. Their onboarding flow follows a clear seven-day, step-by-step structure, starting with feature education and transitioning into expansion prompts such as inviting teammates, connecting tools, or downloading the apps.</p><p>‍</p><p id="""">Beyond onboarding, Notion enriches the experience with Founder Spotlight content (First Block), cross-selling for major new products, highly consistent product-update emails, and upgrade nudges triggered by usage limits, all reinforcing strong engagement and ongoing adoption.</p><p>‍</p>",46,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/67f4c2d44bdb4ee637753547_Notion-logo.svg.png,About 1 year and 5 months,"October 16, 2023","March 10, 2025",~11 days,"<li id=""""><strong id="""">Founded</strong>: 2013</li><li id=""""><strong id="""">Founders</strong>: Ivan Zhao, Simon Last</li><li id=""""><strong id="""">Headquarters</strong>: San Francisco, California, USA</li><li id=""""><strong id="""">Industry</strong>: Productivity, Collaboration, and Knowledge Management</li><li id=""""><strong id="""">Tagline</strong>: ""The all-in-one workspace""</li><li id=""""><strong id="""">Brand Focus</strong>: Notion aims to be the central hub for personal and team organization. It combines note-taking, project management, and database creation into one platform, offering a highly customizable workspace for individuals and teams. The brand emphasizes flexibility, collaboration, and productivity.</li><li id=""""><strong id="""">Key Features</strong>: Note-taking, task management, databases, collaborative wikis, templates, and integration with other apps.</li>",,announce-new-features; celebrate-milestones; expand-user; request-feedback; onboard-free-user; transactional-email; onboard-paid-user; win-back-churned-user; educate-engage,,"Notion delivers minimalistic seven-day onboarding, feature nudges, cross-selling, product updates, founder-spotlight content, and upgrade triggers.",
Loom,loom,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,67f4c34b9295abe5c256afcd,false,false,Tue Apr 08 2025 06:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Loom’s email journey is simple, human, and highly product-centric, beginning with a plain-text welcome message that includes a personal Loom video and continues with onboarding emails that use Loom recordings directly inside the messages. Their communication blends feature nudges, webinar invitations, and new-feature announcements with strong milestone moments—such as celebrating a user’s first recording or sending monthly activity recaps that highlight time saved and real product value.</p><p>‍</p><p id=""""> Loom also regularly requests feedback, keeping the conversation open and reinforcing a supportive, user-focused experience.</p><p>‍</p>",41,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/67f4c3310234b32004cf6270_pngegg.png,About 1 year and 5 months,"October 21, 2023","March 25, 2025",~13 days,,,announce-new-features; celebrate-milestones; expand-user; onboard-free-user; onboard-paid-user; win-back-churned-user; request-feedback; transactional-email; educate-engage,,"Loom uses human, video-based onboarding, feature nudges, webinars, milestone emails, monthly recaps showing saved time, and regular feedback asks.",
Miro,miro,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c52ef44eb93c98584b64,false,false,Wed May 14 2025 16:30:38 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Miro delivers exceptionally polished, visually rich emails that stand out for their thoughtful design, human touch, and highly digestible content. Their communication focuses on education and inspiration, offering templates, examples, videos, webinars, and community events that make it easy for users to reach value quickly and creatively.</p><p>‍</p><p id="""">Although they don’t send many emails, the ones they do include feature announcements, referral invites, and an excellent annual recap, resulting in a consistently delightful email experience.</p><p>‍</p>",18,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d8cf9f6399ed1929095a4_icon%20(1).webp,About 8 months,"October 12, 2024","June 10, 2025",~14 days,,,announce-new-features; educate-engage; expand-user; onboard-free-user; onboard-paid-user; celebrate-milestones; request-feedback; transactional-email; win-back-churned-user,,"Miro offers stunning, design-rich emails with templates, videos, community events, referrals, new features, and a standout annual usage recap.",
Zapier,zapier,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5408b009343fce3dddf,false,false,Wed May 14 2025 16:30:56 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Zapier’s emails stand out visually thanks to their vibrant color palette and clean design, creating a distinctive look across their communication. Their onboarding flow is rich in educational content and personalized guidance, offering tailored recommendations based on the automations a user is building, alongside webinars and helpful resources; the sequence ends with a simple plain-text upgrade nudge.</p><p>‍</p><p id="""">Beyond onboarding, Zapier continues to deliver feature prompts, product news, integration announcements, webinars, and team-invite nudges, while also celebrating key milestones—like creating a user’s first Zap—and supporting re-engagement with special win-back offers.</p><p>‍</p>",27,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d87a1dcca6da79a801766_zapier-logo-png_seeklogo-274108.png,About 1 year and 5½ months,"February 13, 2024","July 31, 2025",~20 days,,,announce-new-features; celebrate-milestones; educate-engage; expand-user; onboard-free-user; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user,,"Zapier sends colorful onboarding with personalized automation tips, webinars, product news, integration updates, and milestone-based celebrations.",
Hunter.io,hunter-io,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c55a48e0ce1aeb40884c,false,false,Wed May 14 2025 16:31:22 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Hunter.io’s emails are simple and mostly plain-text, supported by a distinctive header design with an orangish-pink background and light visual accents, though overall the communication could benefit from richer layouts. Their messaging leans on feature nudges, usage-based triggers, and upgrade prompts, especially when users approach their quota, alongside educational content around cold outreach best practices.</p><p>‍</p><p id="""">A standout element is their interactive voting game, a rare and engaging tactic that adds personality to their email strategy.</p><p>‍</p>",26,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d86fbc360e745cd39741e_655b8092803c160e897dc450_hunter_logo.webp,About 1 year and 2½ months,"April 10, 2024","June 26, 2025",~18 days,,,expand-user; celebrate-milestones; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Hunter.io provides simple emails with a distinct header, feature nudges, quota-based upgrades, cold-email tips, and a unique interactive voting game.",
Phantom Busters,phantom-busters,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c56a5377f8764e1d608a,false,false,Wed May 14 2025 16:31:38 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">PhantomBuster’s email journey is simple and mostly plain-text, offering straightforward nudges that encourage users to try specific features and return to the platform. While effective in intent, the emails could benefit from more engaging layouts or visual elements to better reflect the value of the product and create a smoother reading experience. </p><p>‍</p><p id="""">Overall, the strategy leans on feature prompts and light education, but there is room to strengthen the communication with richer design and more varied content.</p><p>‍</p>",14,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d87578c80061c7fe9be7f_cd8ba3e7-98f0-4d2c-9c07-9f536c7cbbab.jpg,About 1 month,"February 17, 2025","March 17, 2025",~2 days,,,expand-user; celebrate-milestones; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"PhantomBuster emails are simple and plain-text, offering feature nudges, light education, and upgrade prompts with room for richer design.",
Buffer,buffer,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c57cf44eb93c98587a1e,false,false,Wed May 14 2025 16:31:56 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Buffer’s emails rely heavily on plain-text onboarding messages, made more personable through friendly sender signatures that include small profile photos, giving the communication a human touch. Their lifecycle messaging is strongly activity-driven, triggering notifications whenever posts are scheduled, published, or missing—an approach that keeps engagement high but results in a large overall email volume. </p><p>‍</p><p id="""">Notably, Buffer has undergone a significant email marketing rebrand, with improvements in both design and lifecycle strategy, resulting in clearer, more intentional communication.</p><p>‍</p>",29,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d874e02e11356d97b5777_buffer-logo-png-transparent.png,About 1 year and 7½ months,"November 20, 2023","July 8, 2025",~21 days,,,celebrate-milestones; expand-user; onboard-free-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Buffer sends human plain-text onboarding, heavy activity-based alerts, and improved, newly rebranded lifecycle emails that boost engagement.",
Webflow,webflow,67f118c79fcb04b14eeaf13e,6669acc77ba72bcf56a022dd,6824c5920e9d34c03c86c189,false,false,Wed May 14 2025 16:32:18 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 14:33:47 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 15:08:22 GMT+0000 (Coordinated Universal Time),,"<p id="""">Webflow’s email journey is simple and consistent, built around a recurring template with a banner image followed by mostly plain-text content. Their onboarding flow leans heavily on education, offering numerous articles and resources to help users understand a complex product, while ongoing communication includes reports and activity-based notices tied to site behavior.</p><p>‍</p><p id="""">Webflow has also invested significantly in **upselling—especially around their localization feature—with a high volume of prompts that may feel a bit excessive at times.</p><p>‍</p>",27,https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d87abf5f0c83f3cf57b4a_webflow.png,About 4½ months,"November 9, 2023","March 27, 2024",~5 days,,,onboard-free-user; celebrate-milestones; expand-user; announce-new-features; onboard-paid-user; request-feedback; transactional-email; win-back-churned-user; educate-engage,,"Webflow offers simple, plain-text onboarding, educational articles, reports, activity-based alerts, and frequent upsells for its localization feature.",
