Subject,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumb Image,Template Title,Template Summary,New Test Text,Tags,Brand,Category,Set Date,Sender,Meta Title,Meta Description
	Welcome to Premium ,welcome-paid-users-from-freepik-07152025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b15aaa4905ff44521bb5d7,false,false,Fri Aug 29 2025 07:45:46 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 15:08:47 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b15aaa4905ff44521bb5a4_637d8851-b23f-4ca8-9d49-cebcb2a450ab.png,Freepik email 33,"This email serves as a welcome and onboarding communication for new Premium individual users of Freepik. It is structured with visually engaging images, bold headings, and multiple sections highlighting key features such as access to Premium content credits, AI creative tools, templates, premium stock content, and video resources. The tone is enthusiastic and encouraging, aiming to motivate users to explore and utilize the full range of their Premium plan benefits while providing easy access to support and social media channels.",,welcome-paid-users; feature-usage-nudge,freepik,onboard-paid-user,Tue Jul 15 2025 07:33:00 GMT+0000 (Coordinated Universal Time),Freepik,Feature Usage Nudge from Freepik | Educate & Engage 8,"Welcome to Freepik Premium! Enjoy 18,000 credits to unlock all premium content, AI tools, templates, and exclusive stock to boost your creative projects."
 -40% on annual Premium plans? Get it before it’s gone! ,upgrade-to-annual-from-freepik-01242025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b154423ecacecbec6a6975,false,false,Fri Aug 29 2025 07:18:26 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:39:56 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b154413ecacecbec6a6954_83a65d6c-6996-4643-9d48-3452110f4f59.png,Freepik email 01,"This email is a promotional offer from Freepik encouraging users to upgrade to their annual Premium plan with a 40% discount. It features a clear value proposition highlighting access to AI tools, stock content, and benefits like pausing the plan and priority support. The email uses a visually rich layout with multiple images and direct calls-to-action, balancing an enthusiastic and professional tone to motivate early adopters and creative professionals.",,upgrade-to-annual; usage-expansion,freepik,expand-user,Fri Jan 24 2025 07:14:00 GMT+0000 (Coordinated Universal Time),Freepik team,Upgrade to Annual from Freepik | Expand User 3,"Unlock 40% off Freepik Premium annual plan with 216,000 AI tool credits, AI Video Generator, pause anytime, and priority support for creators in 2025."
 -40% on annual plans—why pay monthly? ,upgrade-to-annual-from-freepik-05232025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b158e3c63281b307018105,false,false,Fri Aug 29 2025 07:38:11 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:39:25 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b158e3c63281b307018100_4c4fad7f-05f4-4291-aa69-415601a48a3f.png,Freepik email 24,"This email serves as a promotional offer encouraging users to switch to an annual Premium plan with Freepik, highlighting a 40% discount available for a limited time. The structure uses a combination of compelling visuals, clear benefit statements about the plan's value, and direct call-to-action links to purchase or learn more. The tone is persuasive and upbeat, emphasizing convenience, value, and creative freedom while fostering engagement with social media follow options and customer support links.",,upgrade-to-annual; usage-expansion,freepik,expand-user,Fri May 23 2025 09:02:00 GMT+0000 (Coordinated Universal Time),Freepik team,Upgrade to Annual from Freepik | Expand User 2,"Upgrade to Freepik Premium annual plan, get 40% off, enjoy 216,000 AI credits yearly, simplify payments, and unlock 12 months of creative freedom."
" Create faster: One idea, many styles ⚡ ",feature-usage-nudge-from-freepik-03132025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b155fd433e6ceba78dcd43,false,false,Fri Aug 29 2025 07:25:49 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 15:15:16 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b155fd433e6ceba78dcd01_cb19a45d-1f2d-4137-b972-eaea737e5ae5.png,Freepik email 10,"This email promotes the Freepik AI Image Generator, emphasizing its capability to transform a single prompt into visual outputs across multiple creative styles such as photo, comic, and anime. The email is structured with descriptive sections showcasing the ease of use, the variety of generated styles, and calls to action inviting users to try the tool, explore styles, and join the Freepik community on social platforms. The tone is encouraging and inspirational, aiming to excite users about the creative possibilities and simplicity of the tool.",,feature-usage-nudge,freepik,educate-engage,Thu Mar 13 2025 19:08:00 GMT+0000 (Coordinated Universal Time),Freepik team,Feature Usage Nudge from Freepik | Educate & Engage 20,"Discover Freepik AI Image Generator to transform one prompt into multiple AI-generated styles. Easy, efficient, and beautifully creative visuals for any idea."
 Don’t miss this: Upscale Conf 2025 starts tomorrow ,irl-event-from-freepik-05192025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b158b9e081dfba8788b1fb,false,false,Fri Aug 29 2025 07:37:29 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:17:19 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b158b9e081dfba8788b1e4_58d04c78-5292-4c75-993d-894a161a727b.png,Freepik email 23,"This email promotes the Upscale Conf 2025 livestream event focused on design, AI, and creativity. The structure includes vibrant images and multiple call-to-action buttons for joining the livestream, exploring sessions, and engaging with the community via social media channels. The tone is enthusiastic and inviting, emphasizing accessibility and excitement with clear details about the event schedule, key speakers, and the online format.",,irl-event,freepik,educate-engage,Mon May 19 2025 10:03:00 GMT+0000 (Coordinated Universal Time),Freepik team,IRL Event from Freepik | Educate & Engage,"Join Freepik's Upscale Conf 2025 livestream May 20-21 for insights on design, AI, and creativity with world-class speakers live from San Francisco."
" Jonathan, here's your most productive workflow yet—learn how to build it! 🚀 ",webinar-invitation-from-clickup-06162025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,686d6315f745012f55857f33,false,false,Tue Jul 08 2025 18:27:33 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:17:46 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686d6314f745012f55857f2e_f5d928bf-5615-4d14-919d-14c8a51f700b.png,ClickUp email 18,"This email invites users to a webinar on mastering ClickUp workflows. It is structured with a friendly, informative tone, featuring a clear call to action to reserve a spot. The layout includes visual brand elements, a detailed agenda, and bullet points outlining key benefits of attending, aiming to engage and educate users about advanced features of the software.",,webinar-invitation; content-engagement,clickup,educate-engage,Mon Jun 16 2025 23:02:00 GMT+0000 (Coordinated Universal Time),ClickUp Team,Webinar Invitation from ClickUp | Educate & Engage 4,"Join ClickUp's June 26 webinar to master workflow creation, automate tasks, and boost team productivity with live demos and practical tips."
 Your front-row seat to creativity—Upscale Conf 2025 is live ,irl-event-from-freepik-05152025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b15862c63281b3070163b0,false,false,Fri Aug 29 2025 07:36:02 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 17:02:02 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 18:37:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b15862c63281b3070163ab_2e931723-31e6-4aec-ab70-ff65fa218c23.png,Freepik email 21,"This email serves as an invitation and informational announcement for the Upscale Conf 2025 event, highlighting that it will be streamed live for remote attendees. It combines visual elements, a clear agenda preview, prominent calls to action for joining the livestream, and social media links to engage the audience. The tone is enthusiastic and inclusive, emphasizing accessibility by noting that no travel is needed to participate.",,irl-event,freepik,educate-engage,Thu May 15 2025 15:51:00 GMT+0000 (Coordinated Universal Time),Freepik team,IRL Event from Freepik | Educate & Engage 2,Join Freepik's Upscale Conf 2025 live stream May 20-21 featuring leading creators and innovative talks like Microsoft’s John Maeda on Design in Tech 2025.
 🍌 Consistent visuals with Google Nano Banana ,feature-usage-nudge-from-freepik-08262025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b15cb60a6f56cff263a2d2,false,false,Fri Aug 29 2025 07:54:30 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 15:07:44 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b15cb60a6f56cff263a2cd_a6f3ce96-8b66-4972-898e-93e1495bbc85.png,Freepik email 44,"This marketing email promotes Nano Banana, an AI-powered image generator and editor focused on precise product placement and consistent character representation. The email uses a visually rich and interactive structure with multiple images, product features, benefits, and direct call-to-action buttons throughout. Its tone is enthusiastic and encouraging, aiming to engage users to start using Nano Banana with easy steps and highlighting its advantages for creative design workflows.",,feature-usage-nudge,freepik,educate-engage,Tue Aug 26 2025 14:20:00 GMT+0000 (Coordinated Universal Time),Freepik team,Feature Usage Nudge from Freepik | Educate & Engage 6,"Freepik introduces Nano Banana, an AI tool that enables precise scene creation and editing with consistent faces and product placement, available on Premium+ and Pro plans."
$100k Lovable Shipped Demo Day,milestone-reached-from-lovable-08032025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f6ec8c61343ec62d80d42,false,false,Fri Aug 15 2025 17:30:48 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:40:31 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f6ec8c61343ec62d80d1b_00031cf1-ab69-4e35-bfa1-4295f55a4c77.png,Lovable email 13,"This email is an announcement and invitation for the finale event of Lovable Shipped, a program encouraging founders to develop and pitch their projects, with a $100,000 grant prize. The email provides background on the program, highlights achievements and notable speakers, and includes multiple call-to-action links for registration and further information. The tone is enthusiastic and supportive, aiming to engage the community to watch and support the participants during the live pitch event.",,milestone-reached,lovable,celebrate-milestones,Sun Aug 03 2025 20:00:00 GMT+0000 (Coordinated Universal Time),Lovable,Milestone Reached from Lovable | Celebrate Milestones 2,"Lovable announces $100k prize for winners of Shipped Demo Day, showcasing 80k+ active users and $465k revenue from global founders, with a live pitch event."
"$18.00 payment to Loom, Inc. was unsuccessful",payment-declined-from-loom-01042025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689c52bc54177414bff0b53e,false,false,Wed Aug 13 2025 08:54:20 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 16:37:25 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689c52bc54177414bff0b52e_a96fa2e4-461a-4cd8-b77f-848d51f93064.png,Loom email 36,"This email notifies the recipient that their payment using a Mastercard ending in 0626 for their Loom subscription was unsuccessful. It provides a clear call to action with a link to update billing information to avoid service interruption. The structure is straightforward and professional, with contact information for support and branding elements including the Loom and Stripe logos, reinforcing trust and clarity.",,payment-declined,loom,win-back-churned-user,Sat Jan 04 2025 16:16:00 GMT+0000 (Coordinated Universal Time),"Loom, Inc.",Payment Declined from Loom | Win Back Churned User 2,"Loom, Inc. informs customers of an unsuccessful $18.00 payment via Mastercard ending 0626. Update billing to continue your subscription hassle-free."
